Persepolis Download Manager, 2023/09/19 13:41:16
2023-09-19 13:41:16,944 - Persepolis Download Manager - INFO - platform : Linux
2023-09-19 13:41:17,625 - Persepolis Download Manager - ERROR - Aria2 didn't respond!
2023-09-19 13:41:17,625 - Persepolis Download Manager - INFO - Starting Aria2
2023-09-19 13:41:19,820 - Persepolis Download Manager - INFO - Aria2 is running
2023-09-19 13:42:52,193 - Persepolis Download Manager - INFO - Please wait ...
2023-09-19 13:42:52,199 - Persepolis Download Manager - INFO - Aria2 Shutdown : OK
2023-09-19 13:42:52,800 - Persepolis Download Manager - INFO - Persepolis closed!
Persepolis Download Manager, 2023/09/19 13:42:58
2023-09-19 13:42:58,411 - Persepolis Download Manager - INFO - platform : Linux
2023-09-19 13:42:58,634 - Persepolis Download Manager - ERROR - Aria2 didn't respond!
2023-09-19 13:42:58,634 - Persepolis Download Manager - INFO - Starting Aria2
2023-09-19 13:43:00,694 - Persepolis Download Manager - INFO - Aria2 is running
2023-09-19 13:43:01,738 - Persepolis Download Manager - INFO - Please wait ...
2023-09-19 13:43:01,744 - Persepolis Download Manager - INFO - Aria2 Shutdown : OK
2023-09-19 13:43:02,346 - Persepolis Download Manager - INFO - Persepolis closed!
Persepolis Download Manager, 2023/09/19 13:22:45
2023-09-19 13:22:46,107 - Persepolis Download Manager - INFO - platform : Linux
2023-09-19 13:22:46,557 - Persepolis Download Manager - ERROR - Aria2 didn't respond!
2023-09-19 13:22:46,557 - Persepolis Download Manager - INFO - Starting Aria2
2023-09-19 13:22:48,626 - Persepolis Download Manager - INFO - Aria2 is running
2023-09-19 13:23:38,847 - Persepolis Download Manager - INFO - Please wait ...
2023-09-19 13:23:38,853 - Persepolis Download Manager - INFO - Aria2 Shutdown : OK
2023-09-19 13:23:39,555 - Persepolis Download Manager - INFO - Persepolis closed!
Persepolis Download Manager, 2023/09/19 13:23:41
2023-09-19 13:23:41,370 - Persepolis Download Manager - INFO - platform : Linux
2023-09-19 13:23:41,667 - Persepolis Download Manager - INFO - Aria2 is running
2023-09-19 13:23:49,939 - Persepolis Download Manager - INFO - Please wait ...
2023-09-19 13:23:49,943 - Persepolis Download Manager - ERROR - Aria2 Shutdown Error
2023-09-19 13:23:50,545 - Persepolis Download Manager - INFO - Persepolis closed!
Persepolis Download Manager, 2023/09/19 13:23:58
2023-09-19 13:23:58,493 - Persepolis Download Manager - INFO - platform : Linux
2023-09-19 13:23:58,802 - Persepolis Download Manager - ERROR - Aria2 didn't respond!
2023-09-19 13:23:58,803 - Persepolis Download Manager - INFO - Starting Aria2
2023-09-19 13:24:00,862 - Persepolis Download Manager - INFO - Aria2 is running
2023-09-19 13:24:09,018 - Persepolis Download Manager - INFO - Please wait ...
2023-09-19 13:24:09,022 - Persepolis Download Manager - INFO - Aria2 Shutdown : OK
2023-09-19 13:24:09,724 - Persepolis Download Manager - INFO - Persepolis closed!
